ticker,empresa,setor,subsetor,roic_clean,earnings_yield_clean,rank_roic,rank_ey,magic_formula_rank,cotacao,vol_med_2m,pl,pvp,div_yield,lpa,30_dias,12_meses,marg_liquida,data_execucao
DSUL3,DATASUL ON NM,Programas e Serviços,Programas e Serviços,48.9,78.74,7,15,22,7.95,0.0,5.65,0.97,0.0,1.41,0.0,0.0,16.0,2025-09-01
BPHA3,BRAZIL PHARMA S.A. ON NM,Comércio e Distribuição,Medicamentos e Outros Produtos,401.0,62.5,1,24,25,0.62,0.0,0.06,-0.24,0.0,10.4,0.0,-60.0,-33652.5,2025-09-01
MTBR3,WHIRLPOOL S.A. ON,Utilidades Domésticas,Eletrodomésticos,33.6,136.98600000000002,23,7,30,0.99,0.0,1.59,0.67,0.0,0.62,0.0,0.0,7.1,2025-09-01
MTBR4,WHIRLPOOL S.A. PN,Utilidades Domésticas,Eletrodomésticos,33.6,125.0,23,9,32,1.05,0.0,1.69,0.71,0.0,0.62,0.0,0.0,7.1,2025-09-01
SOND3,SONDOTECNICA S/A. ON,Construção e Engenharia,Engenharia Consultiva,44.6,44.248,10,29,39,47.0,0.0,4.43,1.8,12.1,10.61,0.0,0.0,12.3,2025-09-01
SOND5,SONDOTECNICA S/A. PNA,Construção e Engenharia,Engenharia Consultiva,44.6,34.843,10,33,43,56.0,1526.0,5.28,2.14,11.2,10.61,12.18,19.3,12.3,2025-09-01
ASSM4,HOTEIS ELDORADO PN,,,35.4,53.191,20,27,47,6.1,0.0,0.29,-0.15,0.0,21.28,0.0,0.0,-2915.6,2025-09-01
ASSM3,HOTEIS ELDORADO ON,,,35.4,51.282000000000004,20,28,48,7.12,0.0,0.33,-0.17,0.0,21.28,0.0,0.0,-2915.6,2025-09-01
SOND6,SONDOTECNICA S/A. PNB,Construção e Engenharia,Engenharia Consultiva,44.6,32.468,10,38,48,59.0,918.0,5.56,2.26,10.6,10.61,18.05,25.58,12.3,2025-09-01
AGEN33,Agrenco DR3,Comércio e Distribuição,Alimentos,87.7,26.810000000000002,3,50,53,0.16,0.0,0.39,-0.03,0.0,0.41,0.0,0.0,0.0,2025-09-01
CSPC3,COSIPA ON,,,29.2,69.93,36,18,54,1.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8,2025-09-01
CSPC4,COSIPA PN,,,29.2,69.93,36,18,54,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8,2025-09-01
BOBR3,BOMBRIL SA ON,Produtos de Uso Pessoal e de Limpeza,Produtos de Limpeza,33.3,39.062999999999995,27,30,57,1.0,0.0,3.57,275.96,0.0,0.28,0.0,0.0,4.7,2025-09-01
SALM4,SEARA ALIMENTOS PN,,,25.8,90.90899999999999,46,13,59,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,2025-09-01
SALM3,SEARA ALIMENTOS ON,,,25.8,90.90899999999999,46,13,59,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,2025-09-01
BOBR4,BOMBRIL SA PN,Produtos de Uso Pessoal e de Limpeza,Produtos de Limpeza,33.3,34.721999999999994,27,34,61,1.25,11138.0,4.47,344.96,0.0,0.28,-7.41,-41.31,4.7,2025-09-01
GAZO4,GAZOLA SA INDÚSTRIA METALURGICA PN,,,25.1,97.087,52,12,64,2.32,0.0,0.31,-0.03,0.0,7.47,0.0,0.0,-454.5,2025-09-01
